Тип звуку,Літера,IPA,Результат,На початку слова,В середені слова,В кінці слова,Аудіо
Приголосні ,б,[b],1,было[bˈɨlə],работа[rɐbˈotə],-,1
Приголосні ,б,[bʲ],1,белый[bʲˈelᵻj],себе[sʲɪbʲˈe],-,2
Приголосні ,в,[v],1,вы[vˈɨ],снова[snˈovə],-,3
Приголосні ,в,[vʲ],1,ведь[vʲˈetʲ],человек[t͡ɕɪlɐvʲˈek],-,4
Приголосні ,г,[ɡ],1,голос[ɡˈoləs],много[mnˈoɡə],-,5
Приголосні ,г,[ɡʲ],1,герой[ɡʲɪrˈoj],другие[drʊɡʲˈijə],-,6
Приголосні ,г,[γ],1,господи[γˈospədʲɪ],ага[ɐγˈa],-,
Приголосні ,д,[d],1,даже[dˈaʐᵻ],куда[kʊdˈa],-,8
Приголосні ,д,[dʲ],1,дело[dʲˈelə],будет[bˈudʲɪt],-,9
Приголосні ,ж,[ʐ],0.5,жить[ʐˈɨtʲ],тоже[tˈoʐᵻ],-,10
Приголосні ,ж,[ʑː],0.5,-,вожжи[vˈoʑːɪ],-,11
Приголосні ,з,[z],1,зачем[zɐt͡ɕˈem],сказать[skɐzˈatʲ],-,12
Приголосні ,з,[zʲ],1,земля[zʲɪmlʲˈæ],друзей[drʊzʲˈej],-,13
Приголосні ,й,[j],1,его[jɪvˈo],такое[tɐkˈojə],который[kɐtˈorᵻj],14
Приголосні ,к,[k],1,когда[kɐɡdˈa],пока[pɐkˈa],так[tˈak],15
Приголосні ,к,[kʲ],1,кино[kʲɪnˈo],руке[rʊkʲˈe],-,16
Приголосні ,л,[l],0.5,ладно[lˈadnə],делать[dʲˈelətʲ],был[bˈɨl],17
Приголосні ,л,[lʲ],0.5,,более[bˈolʲɪjə],вдоль[vdˈolʲ],18
Приголосні ,м,[m],1,мы[mˈɨ],прямо[prʲˈæmə],там[tˈam],19
Приголосні ,м,[mʲ],1,место[mʲˈestə],время[vrʲˈemʲə],семь[sʲˈemʲ],20
Приголосні ,н,[n],1,надо[nˈadə],оно[ɐnˈo],один[ɐdʲˈin],21
Приголосні ,н,[nʲ],1,нет[nʲˈet],понял[pˈonʲɪl],очень[ˈot͡ɕɪnʲ],22
Приголосні ,п,[p],1,пусть[pˈusʲtʲ],упал[ʊpˈal],суп[sˈup],23
Приголосні ,п,[pʲ],1,первый[pʲˈervᵻj],опять[ɐpʲˈætʲ],цепь[t͡sˈɛpʲ],24
Приголосні ,р,[r],0,рука[rʊkˈa],хорошо[xərɐʂˈo],мир[mʲˈir],25
Приголосні ,р,[rʲ],0,рядом[rʲˈædəm],вперёд[fpʲɪrʲˈɵt],теперь[tʲɪpʲˈerʲ],26
Приголосні ,с,[s],1,собой[sɐbˈoj],голосом[ɡˈoləsəm],нас[nˈas],27
Приголосні ,с,[sʲ],1,себя[sʲɪbʲˈæ],десять[dʲˈesʲɪtʲ],весь[vʲˈesʲ],28
Приголосні ,т,[t],1,,этого[ˈɛtəvə],вот[vˈot],29
Приголосні ,т,[tʲ],1,тебя[tʲɪbʲˈæ],этих[ˈɛtʲɪx],быть[bˈɨtʲ],30
Приголосні ,ф,[f],1,факт[fˈakt],телефон[tʲɪlʲɪfˈon],часов[t͡ɕɪsˈof],31
Приголосні ,ф,[fʲ],1,фильм[fʲˈilʲm],кофе[kˈofʲɪ],вновь[vnˈofʲ],32
Приголосні ,х,[x],1,,тихо[tʲˈixə],своих[svɐˈix],33
Приголосні ,х,[xʲ],1,хитро[xʲˈitrə],слухи[slˈuxʲɪ],-,34
Приголосні ,ц,[t͡s],1,цель[t͡sˈɛlʲ],лицо[lʲɪt͡sˈo],отец[ɐtʲˈet͡s],35
Приголосні ,ч,[t͡ɕ],0,чего[t͡ɕɪvˈo],ничего[nʲɪt͡ɕɪvˈo],ночь[nˈot͡ɕ],36
Приголосні ,ш,[ʂ],0.5,шёл[ʂˈol],пошёл[pɐʂˈol],наш[nˈaʂ],37
Приголосні ,щ,[ɕː],0.5,,ещё[jɪɕːˈɵ],вещь[vʲˈeɕː],38
Наголошені голосні,а,[a],1,адрес[ˈadrʲɪs],сразу[srˈazʊ],была[bᵻlˈa],39
Наголошені голосні,я,[æ],1,-,взял[vzʲˈæl],меня[mʲɪnʲˈæ],40
Наголошені голосні,э е,[ɛ],1,это[ˈɛtə],цели[t͡sˈɛlʲɪ],в конце[kɐnt͡sˈɛ],41
Наголошені голосні,е,[e],1,-,чем[t͡ɕˈem],где[ɡdʲˈe],42
Наголошені голосні,ы,[ɨ],1,ы[ˈɨ],быстро[bˈɨstrə],должны[dɐlʐnˈɨ],43
Наголошені голосні,и,[i],1,имя[ˈimʲə],спросил[sprɐsʲˈil],три[trʲˈi],44
Наголошені голосні,о,[o],1,он[ˈon],больше[bˈolʲʂᵻ],что[ʂtˈo],45
Наголошені голосні,ё,[ɵ],1,-,живёт[ʐᵻvʲˈɵt],всё[fsʲˈɵ],46
Наголошені голосні,у,[u],1,,друг[drˈuk],могу[mɐɡˈu],47
Ненаголошені голосні,ю,[ʉ],1,-,любит[lʲˈʉbʲɪt],всю[fsʲˈʉ],48
Ненаголошені голосні,о,[ɐ],1,они[ɐnʲˈi],какой[kɐkˈoj],-,49
Ненаголошені голосні,а,[ə],1,-,думал[dˈuməl],только[tˈolʲkə],50
Ненаголошені голосні,о,[o],1,-,-,радио[rˈadʲɪo],51
Ненаголошені голосні,и,[ɪ],1,,,если[jˈeslʲɪ],52
Ненаголошені голосні,ы,[ɨ],1,-,может[mˈoʐɨt],чтобы[ʂtˈobɨ],53
Ненаголошені голосні,у,[ʊ],1,ушёл[ʊʂˈol],могут[mˈoɡʊt],,54
Ненаголошені голосні,ю,[ʉ],1,-,любил[lʲʉbʲˈil],знаю[znˈajʉ],55
